fecha;maxima;minima;estacion
1/3/2021;32.6;4.9;AEROPARQUE AERO
1/3/2021;38.4;2.8;LAS LOMITAS
1/3/2021;36.5;4.7;RIO GRANDE
2/3/2021;24.1;12.4;AEROPARQUE AERO
2/3/2021;23.1;8.5;LAS LOMITAS
2/3/2021;23.0;15.4;RIO GRANDE
3/3/2021;20.9;10.9;AEROPARQUE AERO
3/3/2021;36.3;14.9;LAS LOMITAS
3/3/2021;29.8;19.5;RIO GRANDE
4/3/2021;34.9;8.7;AEROPARQUE AERO
4/3/2021;38.4;7.8;LAS LOMITAS
4/3/2021;22.0;5.0;RIO GRANDE
5/3/2021;26.8;1.5;AEROPARQUE AERO
5/3/2021;22.5;17.1;LAS LOMITAS
5/3/2021;31.0;7.0;RIO GRANDE
6/3/2021;24.2;12.2;AEROPARQUE AERO
6/3/2021;29.3;5.4;LAS LOMITAS
6/3/2021;31.6;5.7;RIO GRANDE
7/3/2021;38.0;11.2;AEROPARQUE AERO
7/3/2021;23.2;6.7;LAS LOMITAS
7/3/2021;22.9;16.9;RIO GRANDE
8/3/2021;31.4;19.8;AEROPARQUE AERO
8/3/2021;34.6;17.6;LAS LOMITAS
8/3/2021;25.8;8.1;RIO GRANDE
9/3/2021;30.9;16.5;AEROPARQUE AERO
9/3/2021;21.3;8.1;LAS LOMITAS
9/3/2021;23.3;14.4;RIO GRANDE
10/3/2021;35.7;9.3;AEROPARQUE AERO
10/3/2021;21.9;12.0;LAS LOMITAS
10/3/2021;38.6;8.8;RIO GRANDE
11/3/2021;24.9;16.0;AEROPARQUE AERO
11/3/2021;32.4;5.1;LAS LOMITAS
11/3/2021;36.3;17.2;RIO GRANDE
12/3/2021;37.6;6.9;AEROPARQUE AERO
12/3/2021;34.0;10.8;LAS LOMITAS
12/3/2021;36.0;0.3;RIO GRANDE
13/3/2021;25.8;0.4;AEROPARQUE AERO
13/3/2021;37.1;15.5;LAS LOMITAS
13/3/2021;38.7;11.1;RIO GRANDE
14/3/2021;21.6;11.3;AEROPARQUE AERO
14/3/2021;36.4;10.7;LAS LOMITAS
14/3/2021;35.8;6.5;RIO GRANDE
15/3/2021;29.9;9.1;AEROPARQUE AERO
15/3/2021;37.7;2.5;LAS LOMITAS
15/3/2021;37.6;11.0;RIO GRANDE
16/3/2021;31.4;8.5;AEROPARQUE AERO
16/3/2021;25.7;15.6;LAS LOMITAS
16/3/2021;38.5;2.9;RIO GRANDE
17/3/2021;38.0;11.3;AEROPARQUE AERO
17/3/2021;27.6;18.8;LAS LOMITAS
17/3/2021;22.0;13.4;RIO GRANDE
18/3/2021;34.3;13.4;AEROPARQUE AERO
18/3/2021;33.4;13.9;LAS LOMITAS
18/3/2021;30.7;9.1;RIO GRANDE
19/3/2021;21.5;14.5;AEROPARQUE AERO
19/3/2021;28.4;9.3;LAS LOMITAS
19/3/2021;32.2;8.2;RIO GRANDE
20/3/2021;27.4;2.0;AEROPARQUE AERO
20/3/2021;37.7;8.9;LAS LOMITAS
20/3/2021;36.0;15.2;RIO GRANDE
21/3/2021;24.4;8.9;AEROPARQUE AERO
21/3/2021;35.7;10.4;LAS LOMITAS
21/3/2021;38.1;5.3;RIO GRANDE
22/3/2021;26.8;5.4;AEROPARQUE AERO
22/3/2021;29.5;17.0;LAS LOMITAS
22/3/2021;36.9;13.9;RIO GRANDE
23/3/2021;32.3;16.1;AEROPARQUE AERO
23/3/2021;31.2;11.7;LAS LOMITAS
23/3/2021;26.7;11.7;RIO GRANDE
24/3/2021;34.9;16.2;AEROPARQUE AERO
24/3/2021;23.3;18.8;LAS LOMITAS
24/3/2021;23.9;11.0;RIO GRANDE
25/3/2021;25.3;16.2;AEROPARQUE AERO
25/3/2021;31.1;11.5;LAS LOMITAS
25/3/2021;23.8;16.3;RIO GRANDE
26/3/2021;32.5;0.2;AEROPARQUE AERO
26/3/2021;25.6;18.9;LAS LOMITAS
26/3/2021;21.4;2.7;RIO GRANDE
27/3/2021;38.9;15.0;AEROPARQUE AERO
27/3/2021;25.6;4.8;LAS LOMITAS
27/3/2021;25.1;8.5;RIO GRANDE
28/3/2021;22.9;7.6;AEROPARQUE AERO
28/3/2021;28.7;0.2;LAS LOMITAS
28/3/2021;25.4;0.9;RIO GRANDE
29/3/2021;26.0;8.6;AEROPARQUE AERO
29/3/2021;21.2;4.2;LAS LOMITAS
29/3/2021;20.8;19.7;RIO GRANDE
30/3/2021;26.3;7.3;AEROPARQUE AERO
30/3/2021;31.9;0.6;LAS LOMITAS
30/3/2021;27.2;9.3;RIO GRANDE
31/3/2021;22.9;17.1;AEROPARQUE AERO
31/3/2021;22.1;17.2;LAS LOMITAS
31/3/2021;30.8;8.1;RIO GRANDE
1/4/2021;26.5;11.8;AEROPARQUE AERO
1/4/2021;38.3;4.5;LAS LOMITAS
1/4/2021;25.9;11.0;RIO GRANDE
2/4/2021;33.6;16.0;AEROPARQUE AERO
2/4/2021;34.5;6.9;LAS LOMITAS
2/4/2021;29.0;10.8;RIO GRANDE
3/4/2021;34.6;9.2;AEROPARQUE AERO
3/4/2021;38.2;20.0;LAS LOMITAS
3/4/2021;36.9;12.4;RIO GRANDE
4/4/2021;34.6;13.5;AEROPARQUE AERO
4/4/2021;35.2;9.9;LAS LOMITAS
4/4/2021;33.4;0.6;RIO GRANDE
5/4/2021;26.0;12.5;AEROPARQUE AERO
5/4/2021;39.7;0.7;LAS LOMITAS
5/4/2021;24.1;19.6;RIO GRANDE
6/4/2021;21.3;18.7;AEROPARQUE AERO
6/4/2021;32.5;17.0;LAS LOMITAS
6/4/2021;25.0;7.4;RIO GRANDE
7/4/2021;34.7;19.9;AEROPARQUE AERO
7/4/2021;27.3;12.7;LAS LOMITAS
7/4/2021;29.9;10.3;RIO GRANDE
8/4/2021;36.8;14.4;AEROPARQUE AERO
8/4/2021;32.0;12.9;LAS LOMITAS
8/4/2021;39.5;1.0;RIO GRANDE
9/4/2021;33.9;6.3;AEROPARQUE AERO
9/4/2021;24.4;15.3;LAS LOMITAS
9/4/2021;24.6;16.3;RIO GRANDE
10/4/2021;33.7;13.6;AEROPARQUE AERO
10/4/2021;34.8;2.5;LAS LOMITAS
10/4/2021;31.6;19.3;RIO GRANDE
11/4/2021;21.8;7.1;AEROPARQUE AERO
11/4/2021;36.6;9.7;LAS LOMITAS
11/4/2021;35.1;19.2;RIO GRANDE
12/4/2021;25.4;2.2;AEROPARQUE AERO
12/4/2021;26.5;7.0;LAS LOMITAS
12/4/2021;27.7;9.5;RIO GRANDE
13/4/2021;26.5;11.2;AEROPARQUE AERO
13/4/2021;27.3;0.8;LAS LOMITAS
13/4/2021;36.2;6.1;RIO GRANDE
14/4/2021;22.7;17.3;AEROPARQUE AERO
14/4/2021;21.3;2.8;LAS LOMITAS
14/4/2021;33.9;17.4;RIO GRANDE
15/4/2021;35.0;6.7;AEROPARQUE AERO
15/4/2021;36.1;15.8;LAS LOMITAS
15/4/2021;20.5;7.1;RIO GRANDE
16/4/2021;30.5;19.3;AEROPARQUE AERO
16/4/2021;33.8;13.8;LAS LOMITAS
16/4/2021;32.3;11.1;RIO GRANDE
17/4/2021;32.1;2.4;AEROPARQUE AERO
17/4/2021;39.2;8.1;LAS LOMITAS
17/4/2021;23.7;2.9;RIO GRANDE
18/4/2021;25.7;17.7;AEROPARQUE AERO
18/4/2021;32.8;12.0;LAS LOMITAS
18/4/2021;21.0;2.4;RIO GRANDE
19/4/2021;34.5;8.8;AEROPARQUE AERO
19/4/2021;37.5;6.7;LAS LOMITAS
19/4/2021;34.9;17.9;RIO GRANDE
20/4/2021;35.3;15.6;AEROPARQUE AERO
20/4/2021;33.4;0.7;LAS LOMITAS
20/4/2021;39.7;2.0;RIO GRANDE
21/4/2021;35.4;5.3;AEROPARQUE AERO
21/4/2021;38.5;1.7;LAS LOMITAS
21/4/2021;24.1;2.8;RIO GRANDE
22/4/2021;20.5;9.9;AEROPARQUE AERO
22/4/2021;37.2;10.1;LAS LOMITAS
22/4/2021;38.6;0.4;RIO GRANDE
23/4/2021;21.9;0.7;AEROPARQUE AERO
23/4/2021;24.8;0.6;LAS LOMITAS
23/4/2021;27.5;15.0;RIO GRANDE
24/4/2021;30.5;14.5;AEROPARQUE AERO
24/4/2021;28.4;17.6;LAS LOMITAS
24/4/2021;39.6;0.9;RIO GRANDE
25/4/2021;39.3;4.0;AEROPARQUE AERO
25/4/2021;28.4;9.1;LAS LOMITAS
25/4/2021;23.7;18.4;RIO GRANDE
26/4/2021;30.9;14.4;AEROPARQUE AERO
26/4/2021;30.1;6.2;LAS LOMITAS
26/4/2021;34.9;9.4;RIO GRANDE
27/4/2021;32.9;17.2;AEROPARQUE AERO
27/4/2021;25.5;8.0;LAS LOMITAS
27/4/2021;26.3;18.3;RIO GRANDE
28/4/2021;34.5;5.0;AEROPARQUE AERO
28/4/2021;20.6;17.8;LAS LOMITAS
28/4/2021;35.8;9.8;RIO GRANDE
29/4/2021;23.4;9.3;AEROPARQUE AERO
29/4/2021;22.1;16.6;LAS LOMITAS
29/4/2021;20.5;15.7;RIO GRANDE
30/4/2021;23.8;6.1;AEROPARQUE AERO
30/4/2021;32.3;17.6;LAS LOMITAS
30/4/2021;29.8;9.6;RIO GRANDE
1/5/2021;27.9;17.8;AEROPARQUE AERO
1/5/2021;26.7;19.8;LAS LOMITAS
1/5/2021;31.3;8.5;RIO GRANDE
2/5/2021;35.5;1.3;AEROPARQUE AERO
2/5/2021;38.5;7.3;LAS LOMITAS
2/5/2021;33.6;12.4;RIO GRANDE
3/5/2021;20.5;3.7;AEROPARQUE AERO
3/5/2021;37.2;6.3;LAS LOMITAS
3/5/2021;21.8;14.1;RIO GRANDE
4/5/2021;38.8;13.7;AEROPARQUE AERO
4/5/2021;35.1;9.3;LAS LOMITAS
4/5/2021;27.9;12.9;RIO GRANDE
5/5/2021;27.8;2.2;AEROPARQUE AERO
5/5/2021;30.9;14.6;LAS LOMITAS
5/5/2021;37.1;18.4;RIO GRANDE
6/5/2021;22.1;3.5;AEROPARQUE AERO
6/5/2021;39.7;0.6;LAS LOMITAS
6/5/2021;22.4;11.1;RIO GRANDE
7/5/2021;37.6;2.1;AEROPARQUE AERO
7/5/2021;23.0;10.8;LAS LOMITAS
7/5/2021;22.0;0.4;RIO GRANDE
8/5/2021;34.8;8.9;AEROPARQUE AERO
8/5/2021;26.1;8.0;LAS LOMITAS
8/5/2021;35.5;12.2;RIO GRANDE
9/5/2021;23.8;2.4;AEROPARQUE AERO
9/5/2021;23.5;8.7;LAS LOMITAS
9/5/2021;38.6;17.8;RIO GRANDE
10/5/2021;38.0;1.5;AEROPARQUE AERO
10/5/2021;32.9;2.4;LAS LOMITAS
10/5/2021;27.9;16.1;RIO GRANDE
11/5/2021;36.6;4.4;AEROPARQUE AERO
11/5/2021;27.4;13.1;LAS LOMITAS
11/5/2021;39.9;10.1;RIO GRANDE
12/5/2021;26.1;3.0;AEROPARQUE AERO
12/5/2021;21.0;6.7;LAS LOMITAS
12/5/2021;27.9;8.3;RIO GRANDE
13/5/2021;22.1;1.5;AEROPARQUE AERO
13/5/2021;31.4;11.1;LAS LOMITAS
13/5/2021;35.4;0.1;RIO GRANDE
14/5/2021;38.4;18.3;AEROPARQUE AERO
14/5/2021;23.3;13.2;LAS LOMITAS
14/5/2021;28.3;3.2;RIO GRANDE
15/5/2021;29.6;14.1;AEROPARQUE AERO
15/5/2021;21.2;2.6;LAS LOMITAS
15/5/2021;20.6;9.6;RIO GRANDE
16/5/2021;30.9;14.0;AEROPARQUE AERO
16/5/2021;25.4;17.3;LAS LOMITAS
16/5/2021;28.5;13.4;RIO GRANDE
17/5/2021;28.8;10.1;AEROPARQUE AERO
17/5/2021;36.2;12.8;LAS LOMITAS
17/5/2021;26.0;18.7;RIO GRANDE
18/5/2021;21.3;2.3;AEROPARQUE AERO
18/5/2021;26.0;1.2;LAS LOMITAS
18/5/2021;22.7;12.7;RIO GRANDE
19/5/2021;31.0;15.3;AEROPARQUE AERO
19/5/2021;29.0;9.6;LAS LOMITAS
19/5/2021;28.0;14.5;RIO GRANDE
20/5/2021;24.1;6.6;AEROPARQUE AERO
20/5/2021;33.0;15.4;LAS LOMITAS
20/5/2021;38.3;8.2;RIO GRANDE
21/5/2021;39.6;11.2;AEROPARQUE AERO
21/5/2021;36.5;0.3;LAS LOMITAS
21/5/2021;23.4;18.0;RIO GRANDE
22/5/2021;35.4;3.4;AEROPARQUE AERO
22/5/2021;35.3;11.0;LAS LOMITAS
22/5/2021;39.2;2.8;RIO GRANDE
23/5/2021;23.4;1.2;AEROPARQUE AERO
23/5/2021;37.3;0.5;LAS LOMITAS
23/5/2021;40.0;13.7;RIO GRANDE
24/5/2021;24.7;16.1;AEROPARQUE AERO
24/5/2021;32.2;13.4;LAS LOMITAS
24/5/2021;33.1;14.9;RIO GRANDE
25/5/2021;20.8;12.5;AEROPARQUE AERO
25/5/2021;30.4;14.3;LAS LOMITAS
25/5/2021;21.3;3.3;RIO GRANDE
26/5/2021;25.7;7.8;AEROPARQUE AERO
26/5/2021;22.0;16.7;LAS LOMITAS
26/5/2021;22.3;12.4;RIO GRANDE
27/5/2021;30.1;5.0;AEROPARQUE AERO
27/5/2021;20.5;5.2;LAS LOMITAS
27/5/2021;30.2;0.3;RIO GRANDE
28/5/2021;29.2;6.6;AEROPARQUE AERO
28/5/2021;37.0;0.3;LAS LOMITAS
28/5/2021;21.4;19.1;RIO GRANDE
29/5/2021;39.0;11.0;AEROPARQUE AERO
29/5/2021;20.3;16.0;LAS LOMITAS
29/5/2021;24.6;12.9;RIO GRANDE
30/5/2021;37.3;8.0;AEROPARQUE AERO
30/5/2021;37.3;16.8;LAS LOMITAS
30/5/2021;24.2;6.0;RIO GRANDE
31/5/2021;22.8;0.4;AEROPARQUE AERO
31/5/2021;37.8;12.3;LAS LOMITAS
31/5/2021;35.1;18.5;RIO GRANDE
1/6/2021;27.4;11.4;AEROPARQUE AERO
1/6/2021;31.2;8.4;LAS LOMITAS
1/6/2021;22.7;5.6;RIO GRANDE
2/6/2021;28.4;17.8;AEROPARQUE AERO
2/6/2021;27.8;16.1;LAS LOMITAS
2/6/2021;21.2;10.7;RIO GRANDE
3/6/2021;38.1;0.9;AEROPARQUE AERO
3/6/2021;26.9;10.7;LAS LOMITAS
3/6/2021;32.0;2.0;RIO GRANDE
4/6/2021;38.6;9.8;AEROPARQUE AERO
4/6/2021;28.9;9.2;LAS LOMITAS
4/6/2021;36.3;7.5;RIO GRANDE
5/6/2021;21.2;19.3;AEROPARQUE AERO
5/6/2021;27.8;19.3;LAS LOMITAS
5/6/2021;21.2;7.6;RIO GRANDE
6/6/2021;36.6;2.8;AEROPARQUE AERO
6/6/2021;23.9;12.2;LAS LOMITAS
6/6/2021;36.1;0.7;RIO GRANDE
7/6/2021;26.1;0.9;AEROPARQUE AERO
7/6/2021;30.8;6.1;LAS LOMITAS
7/6/2021;28.2;9.4;RIO GRANDE
8/6/2021;30.8;1.3;AEROPARQUE AERO
8/6/2021;36.5;17.9;LAS LOMITAS
8/6/2021;32.5;16.4;RIO GRANDE
9/6/2021;22.7;4.8;AEROPARQUE AERO
9/6/2021;32.7;3.3;LAS LOMITAS
9/6/2021;23.5;17.4;RIO GRANDE
10/6/2021;20.4;2.5;AEROPARQUE AERO
10/6/2021;36.7;12.0;LAS LOMITAS
10/6/2021;37.2;16.7;RIO GRANDE
11/6/2021;39.6;14.5;AEROPARQUE AERO
11/6/2021;30.5;18.5;LAS LOMITAS
11/6/2021;30.6;11.8;RIO GRANDE
12/6/2021;24.8;1.9;AEROPARQUE AERO
12/6/2021;30.0;18.9;LAS LOMITAS
12/6/2021;25.8;19.5;RIO GRANDE
13/6/2021;28.0;14.4;AEROPARQUE AERO
13/6/2021;21.6;18.3;LAS LOMITAS
13/6/2021;32.3;3.7;RIO GRANDE
14/6/2021;34.0;16.7;AEROPARQUE AERO
14/6/2021;28.3;19.2;LAS LOMITAS
14/6/2021;21.4;3.9;RIO GRANDE
15/6/2021;34.1;15.2;AEROPARQUE AERO
15/6/2021;32.2;15.9;LAS LOMITAS
15/6/2021;36.5;5.4;RIO GRANDE
16/6/2021;36.9;2.7;AEROPARQUE AERO
16/6/2021;37.4;4.3;LAS LOMITAS
16/6/2021;36.5;4.4;RIO GRANDE
17/6/2021;23.9;3.5;AEROPARQUE AERO
17/6/2021;28.9;7.3;LAS LOMITAS
17/6/2021;38.1;6.0;RIO GRANDE
18/6/2021;38.1;0.8;AEROPARQUE AERO
18/6/2021;39.2;14.2;LAS LOMITAS
18/6/2021;34.4;6.9;RIO GRANDE
19/6/2021;37.6;16.9;AEROPARQUE AERO
19/6/2021;29.9;19.2;LAS LOMITAS
19/6/2021;30.1;4.9;RIO GRANDE
20/6/2021;20.1;8.6;AEROPARQUE AERO
20/6/2021;36.3;19.5;LAS LOMITAS
20/6/2021;23.4;10.6;RIO GRANDE
21/6/2021;39.1;1.9;AEROPARQUE AERO
21/6/2021;22.6;6.9;LAS LOMITAS
21/6/2021;25.1;0.1;RIO GRANDE
22/6/2021;37.5;0.1;AEROPARQUE AERO
22/6/2021;25.3;12.9;LAS LOMITAS
22/6/2021;31.1;13.5;RIO GRANDE
23/6/2021;30.3;15.4;AEROPARQUE AERO
23/6/2021;28.2;9.6;LAS LOMITAS
23/6/2021;31.2;11.1;RIO GRANDE
24/6/2021;23.2;12.9;AEROPARQUE AERO
24/6/2021;25.2;8.9;LAS LOMITAS
24/6/2021;31.5;8.0;RIO GRANDE
25/6/2021;35.2;16.9;AEROPARQUE AERO
25/6/2021;24.6;17.7;LAS LOMITAS
25/6/2021;29.3;8.6;RIO GRANDE
26/6/2021;33.8;11.4;AEROPARQUE AERO
26/6/2021;36.3;14.3;LAS LOMITAS
26/6/2021;31.1;5.7;RIO GRANDE
27/6/2021;34.4;9.0;AEROPARQUE AERO
27/6/2021;37.6;7.7;LAS LOMITAS
27/6/2021;35.4;17.7;RIO GRANDE
28/6/2021;20.2;3.7;AEROPARQUE AERO
28/6/2021;24.3;13.2;LAS LOMITAS
28/6/2021;29.7;0.8;RIO GRANDE
29/6/2021;36.0;13.5;AEROPARQUE AERO
29/6/2021;23.7;0.9;LAS LOMITAS
29/6/2021;25.3;12.0;RIO GRANDE
30/6/2021;27.4;13.3;AEROPARQUE AERO
30/6/2021;28.1;19.1;LAS LOMITAS
30/6/2021;24.6;17.1;RIO GRANDE
1/7/2021;31.0;17.9;AEROPARQUE AERO
1/7/2021;38.5;0.6;LAS LOMITAS
1/7/2021;23.3;10.3;RIO GRANDE
2/7/2021;35.9;1.6;AEROPARQUE AERO
2/7/2021;20.2;2.5;LAS LOMITAS
2/7/2021;30.9;13.5;RIO GRANDE
3/7/2021;33.3;6.9;AEROPARQUE AERO
3/7/2021;27.2;7.9;LAS LOMITAS
